日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2001-01-02,7.4,7.56,7.59,7.38,6388,4808000.0,2.85,2.44,0.18,0.64
2001-01-03,7.65,7.75,7.81,7.6,10953,8484000.0,2.78,2.51,0.19,1.1
2001-01-04,7.8,7.6,7.81,7.6,9328,7129000.0,2.71,-1.94,-0.15,0.94
2001-01-05,7.59,7.45,7.59,7.37,12778,9488000.0,2.89,-1.97,-0.15,1.28
2001-01-08,7.43,7.08,7.43,7.08,13443,9569000.0,4.7,-4.97,-0.37,1.35
2001-01-09,6.89,7.14,7.14,6.73,21067,14486000.0,5.79,0.85,0.06,2.12
2001-01-10,7.14,7.14,7.25,6.98,10879,7794000.0,3.78,0.0,0.0,1.09
2001-01-11,7.18,7.1,7.3,7.09,9430,6755000.0,2.94,-0.56,-0.04,0.95
2001-01-12,7.18,7.09,7.18,7.02,7064,4990000.0,2.25,-0.14,-0.01,0.71
2001-01-15,7.08,6.89,7.08,6.85,7670,5320000.0,3.24,-2.82,-0.2,0.77
2001-01-16,6.8,6.89,6.96,6.73,6380,4355000.0,3.34,0.0,0.0,0.64
2001-01-17,6.9,6.95,6.98,6.88,2908,2014000.0,1.45,0.87,0.06,0.29
2001-01-18,6.93,6.8,6.95,6.8,6864,4704000.0,2.16,-2.16,-0.15,0.69
2001-01-19,6.8,6.9,6.99,6.78,7696,5286000.0,3.09,1.47,0.1,0.77
2001-02-05,6.91,7.25,7.25,6.91,9138,6518000.0,4.93,5.07,0.35,0.92
2001-02-06,7.3,7.19,7.46,7.18,24604,17981000.0,3.86,-0.83,-0.06,2.47
2001-02-07,7.15,7.0,7.25,6.97,6460,4582000.0,3.89,-2.64,-0.19,0.65
2001-02-08,6.93,6.87,7.0,6.85,5214,3606000.0,2.14,-1.86,-0.13,0.52
2001-02-09,6.85,7.01,7.1,6.85,4062,2830000.0,3.64,2.04,0.14,0.41
2001-02-12,7.06,6.96,7.06,6.9,3780,2624000.0,2.28,-0.71,-0.05,0.38
2001-02-13,6.96,7.07,7.27,6.96,8680,6178000.0,4.45,1.58,0.11,0.87
2001-02-14,7.07,6.98,7.08,6.89,4829,3355000.0,2.69,-1.27,-0.09,0.48
2001-02-15,6.86,6.89,7.0,6.85,3940,2714000.0,2.15,-1.29,-0.09,0.4
2001-02-16,6.89,6.67,6.89,6.55,9062,6040000.0,4.93,-3.19,-0.22,0.91
2001-02-19,6.66,6.61,6.72,6.41,5281,3491000.0,4.65,-0.9,-0.06,0.53
2001-02-20,6.65,6.61,6.75,6.59,5278,3516000.0,2.42,0.0,0.0,0.53
2001-02-21,6.39,6.28,6.46,6.28,12947,8156000.0,2.72,-4.99,-0.33,1.3
2001-02-22,5.97,5.97,5.99,5.97,5174,3088000.0,0.32,-4.94,-0.31,0.52
2001-02-23,5.68,6.0,6.1,5.68,19433,11374000.0,7.04,0.5,0.03,1.95
2001-02-26,5.71,5.75,5.9,5.7,18066,10441000.0,3.33,-4.17,-0.25,1.81
2001-02-27,5.58,5.87,6.0,5.58,17254,10127000.0,7.3,2.09,0.12,1.73
2001-02-28,5.87,6.06,6.16,5.82,12804,7684000.0,5.79,3.24,0.19,1.29
2001-03-01,6.1,6.2,6.3,6.06,14145,8768000.0,3.96,2.31,0.14,1.42
2001-03-02,6.16,6.22,6.25,6.12,8569,5290000.0,2.1,0.32,0.02,0.86
2001-03-05,6.27,6.35,6.38,6.24,9350,5921000.0,2.25,2.09,0.13,0.94
2001-03-06,6.35,6.2,6.4,6.19,13127,8234000.0,3.31,-2.36,-0.15,1.32
2001-03-07,6.2,6.24,6.35,6.15,6332,3949000.0,3.23,0.65,0.04,0.64
2001-03-08,6.28,6.15,6.28,6.11,7577,4679000.0,2.72,-1.44,-0.09,0.76
2001-03-09,6.18,6.14,6.22,6.1,8012,4913000.0,1.95,-0.16,-0.01,0.8
2001-03-12,6.14,6.2,6.25,6.1,6246,3858000.0,2.44,0.98,0.06,0.63
2001-03-13,6.2,6.17,6.27,6.16,6994,4348000.0,1.77,-0.48,-0.03,0.7
2001-03-14,6.17,6.22,6.24,6.16,7234,4485000.0,1.3,0.81,0.05,0.73
2001-03-15,6.22,6.35,6.38,6.21,12158,7675000.0,2.73,2.09,0.13,1.22
2001-03-16,6.38,6.41,6.58,6.36,21405,13828000.0,3.46,0.94,0.06,2.15
2001-03-19,6.42,6.51,6.55,6.42,12747,8271000.0,2.03,1.56,0.1,1.28
2001-03-20,6.56,6.55,6.6,6.42,13759,8972000.0,2.76,0.61,0.04,1.38
2001-03-21,6.58,6.57,6.66,6.5,13011,8547000.0,2.44,0.31,0.02,1.31
2001-03-22,6.55,6.41,6.56,6.38,23226,14926000.0,2.74,-2.44,-0.16,2.33
2001-03-23,6.38,6.32,6.43,6.29,17017,10815000.0,2.18,-1.4,-0.09,1.71
2001-03-26,6.3,6.34,6.39,6.28,11109,7031000.0,1.74,0.32,0.02,1.12
2001-03-27,6.36,6.45,6.45,6.35,14248,9123000.0,1.58,1.74,0.11,1.43
2001-03-28,6.48,6.37,6.5,6.32,8680,5534000.0,2.79,-1.24,-0.08,0.87
2001-03-29,6.37,6.25,6.38,6.22,16023,10114000.0,2.51,-1.88,-0.12,1.61
2001-03-30,6.25,6.25,6.3,6.14,13823,8582000.0,2.56,0.0,0.0,1.39
2001-04-02,6.25,6.28,6.29,6.16,10188,6346000.0,2.08,0.48,0.03,1.02
2001-04-03,6.29,6.51,6.58,6.25,29419,19051000.0,5.25,3.66,0.23,2.95
2001-04-04,6.51,6.38,6.56,6.36,14926,9672000.0,3.07,-2.0,-0.13,1.5
2001-04-05,6.38,6.7,6.7,6.37,44410,29457000.0,5.17,5.02,0.32,4.46
2001-04-06,6.81,6.73,6.84,6.66,31486,21225000.0,2.69,0.45,0.03,3.16
2001-04-09,6.79,6.96,7.04,6.78,38375,26628000.0,3.86,3.42,0.23,3.85
2001-04-10,6.99,6.93,7.0,6.82,18840,12999000.0,2.59,-0.43,-0.03,1.89
2001-04-11,6.92,6.81,6.92,6.74,17997,12252000.0,2.6,-1.73,-0.12,1.81
2001-04-12,6.8,6.77,6.81,6.65,18487,12404000.0,2.35,-0.59,-0.04,1.86
2001-04-13,6.75,6.79,6.93,6.72,13551,9222000.0,3.1,0.3,0.02,1.36
2001-04-16,6.8,6.71,6.81,6.6,19633,13050000.0,3.09,-1.18,-0.08,1.97
2001-04-17,6.65,6.73,6.83,6.6,13772,9231000.0,3.43,0.3,0.02,1.38
2001-04-18,6.71,6.64,6.73,6.62,11661,7762000.0,1.63,-1.34,-0.09,1.17
2001-04-19,6.61,6.68,6.75,6.58,10423,6936000.0,2.56,0.6,0.04,1.05
2001-04-20,6.65,6.7,6.74,6.6,13652,9094000.0,2.1,0.3,0.02,1.37
2001-04-23,6.68,6.89,6.9,6.65,23267,15910000.0,3.73,2.84,0.19,2.34
2001-04-24,6.9,6.86,6.93,6.8,14784,10155000.0,1.89,-0.44,-0.03,1.48
2001-04-25,6.75,6.76,7.03,6.7,29426,20239000.0,4.81,-1.46,-0.1,2.95
2001-04-26,6.72,6.83,6.94,6.72,18741,12836000.0,3.25,1.04,0.07,1.88
2001-04-27,6.95,7.17,7.17,6.93,92890,66330000.0,3.51,4.98,0.34,9.33
2001-04-30,7.3,7.23,7.3,7.15,55717,40291000.0,2.09,0.84,0.06,5.59
2001-05-08,7.25,7.38,7.38,7.15,23818,17237982.0,3.18,2.07,0.15,2.39
2001-05-09,7.38,7.23,7.43,7.2,32442,23844000.0,3.12,-2.03,-0.15,3.26
2001-05-10,7.24,7.27,7.36,7.2,20142,14649000.0,2.21,0.55,0.04,2.02
2001-05-11,7.28,7.39,7.41,7.2,26075,19101000.0,2.89,1.65,0.12,2.62
2001-05-14,7.45,7.67,7.76,7.45,53960,41352000.0,4.19,3.79,0.28,5.42
2001-05-15,7.67,7.7,7.77,7.59,31598,24227000.0,2.35,0.39,0.03,3.17
2001-05-16,7.75,7.64,7.75,7.62,19910,15260000.0,1.69,-0.78,-0.06,2.0
2001-05-17,7.63,7.49,7.64,7.42,27073,20283000.0,2.88,-1.96,-0.15,2.72
2001-05-18,7.44,7.86,7.86,7.42,42637,33113000.0,5.87,4.94,0.37,4.28
2001-05-21,7.91,8.08,8.21,7.91,56388,45675000.0,3.82,2.8,0.22,5.66
2001-05-22,8.08,8.08,8.18,7.89,31944,25693000.0,3.59,0.0,0.0,3.21
2001-05-23,8.1,8.3,8.35,8.01,42371,34814000.0,4.21,2.72,0.22,4.25
2001-05-24,8.3,8.21,8.31,8.16,19643,16214000.0,1.81,-1.08,-0.09,1.97
2001-05-25,8.22,8.1,8.29,8.1,19825,16161000.0,2.31,-1.34,-0.11,1.99
2001-05-28,8.1,8.51,8.51,8.1,60250,50940000.0,5.06,5.06,0.41,6.05
2001-05-29,8.55,8.61,8.85,8.51,59372,51780000.0,4.0,1.18,0.1,5.96
2001-05-30,8.61,8.55,8.68,8.4,28658,24489000.0,3.25,-0.7,-0.06,2.88
2001-05-31,8.55,8.65,8.81,8.52,24677,21387000.0,3.39,1.17,0.1,2.48
2001-06-01,8.67,8.68,8.82,8.62,19011,16534000.0,2.31,0.35,0.03,1.91
2001-06-04,8.7,8.61,8.74,8.46,26653,22813000.0,3.23,-0.81,-0.07,2.68
2001-06-05,8.58,8.21,8.58,8.18,64798,53940000.0,4.65,-4.65,-0.4,6.51
2001-06-06,8.15,8.3,8.38,8.11,33872,27996000.0,3.29,1.1,0.09,3.4
2001-06-07,8.3,8.18,8.35,8.16,19679,16146000.0,2.29,-1.45,-0.12,1.98
2001-06-08,8.18,8.23,8.28,8.15,15645,12854000.0,1.59,0.61,0.05,1.57
2001-06-11,8.24,8.02,8.29,7.92,26845,21696000.0,4.5,-2.55,-0.21,2.7
2001-06-12,8.02,8.28,8.28,8.0,14859,12174000.0,3.49,3.24,0.26,1.49
2001-06-13,8.31,8.48,8.49,8.31,17678,14871000.0,2.17,2.42,0.2,1.77
2001-06-14,8.5,8.19,8.54,8.16,17858,14926000.0,4.48,-3.42,-0.29,1.79
2001-06-15,8.15,8.22,8.3,8.1,10058,8249000.0,2.44,0.37,0.03,1.01
2001-06-18,8.19,8.05,8.19,8.01,13637,11047000.0,2.19,-2.07,-0.17,1.37
2001-06-19,8.05,7.95,8.08,7.82,15067,11935000.0,3.23,-1.24,-0.1,1.51
2001-06-20,7.95,7.82,8.0,7.8,10933,8609000.0,2.52,-1.64,-0.13,1.1
2001-06-21,7.82,7.93,7.93,7.8,7278,5737000.0,1.66,1.41,0.11,0.73
2001-06-22,7.95,8.18,8.27,7.9,12851,10456000.0,4.67,3.15,0.25,1.29
2001-06-25,8.2,8.2,8.3,8.13,10253,8423000.0,2.08,0.24,0.02,1.03
2001-06-27,8.22,8.44,8.53,8.22,20323,17134000.0,3.78,2.93,0.24,2.04
2001-06-28,8.52,8.37,8.56,8.35,21570,18246000.0,2.49,-0.83,-0.07,2.17
2001-06-29,8.4,8.28,8.47,8.26,10397,8681000.0,2.51,-1.08,-0.09,1.04
2001-07-02,8.27,8.41,8.5,8.27,12100,10156000.0,2.78,1.57,0.13,1.21
2001-07-03,8.41,8.37,8.49,8.31,6551,5496000.0,2.14,-0.48,-0.04,0.66
2001-07-04,8.37,8.4,8.48,8.33,9113,7673000.0,1.79,0.36,0.03,0.91
2001-07-05,8.35,8.27,8.44,8.2,7301,6079000.0,2.86,-1.55,-0.13,0.73
2001-07-06,8.23,8.08,8.25,8.05,8333,6784000.0,2.42,-2.3,-0.19,0.84
2001-07-09,8.05,8.2,8.28,8.05,6134,5014000.0,2.85,1.49,0.12,0.62
2001-07-10,8.25,8.4,8.4,8.16,9003,7499000.0,2.93,2.44,0.2,0.9
2001-07-11,8.4,8.43,8.55,8.35,21530,18230000.0,2.38,0.36,0.03,2.16
2001-07-12,8.46,8.63,8.78,8.45,54859,47585000.0,3.91,2.37,0.2,5.51
2001-07-13,8.63,8.56,8.73,8.51,19539,16886759.0,2.55,-0.81,-0.07,1.96
2001-07-16,8.62,8.99,8.99,8.5,92123,82149000.0,5.72,5.02,0.43,9.25
2001-07-17,9.08,9.14,9.42,8.91,140816,129346000.0,5.67,1.67,0.15,14.14
2001-07-18,9.14,9.24,9.35,9.1,51215,47206000.0,2.74,1.09,0.1,5.14
2001-07-19,9.24,8.95,9.3,8.79,57454,51679000.0,5.52,-3.14,-0.29,5.77
2001-07-20,8.95,9.29,9.3,8.77,55758,50041000.0,5.92,3.8,0.34,5.6
2001-07-23,9.34,9.71,9.75,9.19,91455,87691000.0,6.03,4.52,0.42,9.18
2001-07-24,9.7,9.64,9.85,9.51,59219,57458000.0,3.5,-0.72,-0.07,5.95
2001-07-25,9.55,9.48,9.69,9.41,41132,39251000.0,2.9,-1.66,-0.16,4.13
2001-07-26,9.49,9.2,9.64,9.1,39312,36577000.0,5.7,-2.95,-0.28,3.95
2001-07-27,9.15,8.74,9.24,8.74,40062,36035000.0,5.43,-5.0,-0.46,4.02
2001-07-30,8.66,8.3,8.66,8.3,34239,28689000.0,4.12,-5.03,-0.44,3.44
2001-07-31,7.98,7.89,8.27,7.89,35164,28122000.0,4.58,-4.94,-0.41,3.53
2001-08-01,8.1,8.28,8.28,8.02,19639,16125000.0,3.3,4.94,0.39,1.97
